user_id,is_member,membership_cancelled,tenure_days,recency_days,day_since_last_order,order_count,total_spend,cart_abandon_count,wishlist_idle_count,coupon_unused_count,bad_review_count,cancel_count,spending_drop_ratio,satisfaction_score,prefered_order_cat,seed_group,seed_type,churned
1,0,0,706,9,20,17,1241918,0,0,0,0,0,0.9,4,문구/오피스,normal,,0
2,0,0,728,4,24,14,770812,0,0,1,0,0,1.26,,헬스/건강,normal,,0
3,0,0,825,9,18,15,1185300,0,3,0,0,0,1.22,3,생활용품,risk,WISHLIST_IDLE,0
4,0,0,777,28,20,27,1285200,0,0,0,0,0,0.5,,자동차,border,,0
5,0,0,596,12,4,16,537952,0,0,0,0,0,1.33,,헬스/건강,normal,,0
6,1,0,294,3,25,13,744211,0,0,0,0,0,0.86,5,패션,normal,,0
7,0,0,739,5,29,5,313120,1,0,1,0,0,1.36,2,완구/취미,normal,,0
8,1,0,515,2,24,21,907284,0,0,0,0,0,1.32,4,생활용품,normal,,0
9,0,0,596,10,22,17,1529388,0,0,0,0,0,1.27,5,자동차,normal,,0
10,0,0,375,5,15,18,972954,0,2,0,0,0,1.24,5,생활용품,risk,WISHLIST_IDLE,0
11,0,0,353,7,19,15,316350,0,0,0,0,0,0.94,,뷰티,normal,,1
12,0,0,500,58,70,28,1408540,0,0,0,0,0,1.32,,가전/디지털,risk,LOGIN_INACTIVE,1
13,0,0,227,11,25,11,781891,0,0,0,0,0,1.16,,가전/디지털,normal,,0
14,0,0,842,12,21,20,1112660,0,0,1,0,0,1.02,,가구/인테리어,normal,,1
15,0,0,246,2,11,6,206784,0,0,0,0,0,1.15,,뷰티,normal,,1
16,0,0,388,77,77,10,265050,1,0,1,0,0,0.93,3,스포츠,composite,,0
17,0,0,214,60,82,6,290802,0,0,0,0,0,1.4,,패션,risk,LOGIN_INACTIVE,0
18,1,0,92,5,4,29,1135292,0,0,1,0,0,1.06,,뷰티,risk,COUPON_EXPIRING,0
19,0,0,316,13,14,30,649590,0,0,0,0,0,1.25,,가전/디지털,normal,,0
20,0,0,313,61,73,18,829908,0,0,0,0,0,1.39,,헬스/건강,risk,LOGIN_INACTIVE,1
21,0,0,379,14,12,25,1019725,0,0,1,0,0,1.09,5,생활용품,normal,,0
22,1,0,552,10,11,12,552564,0,0,0,0,0,1.38,,스포츠,normal,,0
23,1,0,708,6,12,11,241714,0,0,0,0,0,1.26,,생활용품,normal,,0
24,0,0,103,9,27,4,329176,0,0,0,0,0,0.91,,출산/유아동,normal,,0
25,0,0,153,22,28,19,1222783,1,1,0,0,0,0.62,,식품,border,,0
26,0,0,559,3,12,8,524184,0,0,0,0,0,1.2,4,생활용품,normal,,0
27,1,0,801,2,10,15,377625,0,0,0,0,0,1.2,,패션,normal,,0
28,0,0,640,28,22,10,655690,0,0,1,0,0,0.51,,완구/취미,border,,0
29,0,0,520,4,28,8,436136,0,0,0,0,0,1.08,4,자동차,normal,,0
30,0,0,249,14,2,27,1828440,0,0,0,0,0,1.18,,패션,normal,,0
31,0,0,898,2,53,21,1862490,1,1,0,0,0,0.93,5,스포츠,composite,,0
32,0,0,954,0,8,9,306279,0,0,0,0,0,1.29,5,문구/오피스,normal,,0
33,0,0,561,8,21,25,1338650,0,0,0,0,2,0.76,2,패션,risk,BAD_EXPERIENCE,1
34,0,0,971,13,4,19,1545631,0,0,0,0,0,1.36,,가전/디지털,normal,,1
35,0,0,901,5,27,17,469897,0,0,0,0,0,0.8,,패션,normal,,1
36,0,0,139,78,95,13,425477,0,0,0,0,2,0.88,,스포츠,composite,,1
37,0,0,824,1,26,17,1137606,0,0,0,0,0,0.82,,식품,normal,,0
38,0,0,244,8,14,29,2498379,0,0,1,0,0,1.04,4,가구/인테리어,normal,,0
39,0,0,984,25,29,15,938295,0,0,0,0,0,0.54,,식품,border,,1
40,1,0,279,6,26,21,1119363,0,0,1,0,0,0.75,,식품,normal,,0
41,0,0,58,35,58,1,38157,0,1,0,0,0,1.39,,출산/유아동,risk,FIRST_ORDER_ONLY,1
42,0,0,901,11,28,28,1572760,1,0,0,0,0,1.12,3,가전/디지털,normal,,0
43,1,0,98,7,13,7,283227,0,0,0,0,0,0.9,,헬스/건강,normal,,0
44,0,0,367,1,20,29,2099658,0,0,0,0,0,0.96,5,출산/유아동,normal,,0
45,0,0,237,7,28,19,617481,0,0,0,1,0,1.12,,자동차,risk,BAD_EXPERIENCE,0
46,0,0,402,5,30,28,2153900,0,1,1,0,0,0.9,5,출산/유아동,normal,,0
47,1,0,929,51,67,24,1683192,0,0,0,0,0,1.12,4,자동차,risk,LOGIN_INACTIVE,0
48,1,0,286,2,3,26,1858870,1,0,0,0,0,0.81,4,완구/취미,normal,,0
49,0,0,356,12,14,8,669800,0,0,0,0,0,0.21,,가전/디지털,risk,SPENDING_DROP,1
50,0,0,573,6,26,16,593408,0,0,0,2,0,1.01,,뷰티,risk,BAD_EXPERIENCE,1
51,0,0,690,54,65,21,1097775,4,0,0,0,0,1.2,4,자동차,composite,,1
52,0,1,388,82,96,10,231720,0,0,0,0,0,1.28,3,가전/디지털,risk,LOGIN_INACTIVE,0
53,1,0,209,7,3,23,1163869,0,0,0,0,0,1.3,,헬스/건강,normal,,1
54,0,0,817,0,9,7,275492,1,1,0,0,0,1.2,,완구/취미,normal,,0
55,0,0,372,7,17,7,160867,0,0,0,0,0,1.11,,스포츠,normal,,0
56,1,0,324,8,17,28,1078728,0,5,0,0,0,1.34,5,패션,risk,WISHLIST_IDLE,0
57,0,0,321,20,21,5,286130,0,0,0,0,0,0.56,4,가전/디지털,border,,0
58,0,0,738,13,23,12,806568,1,0,1,0,0,1.17,,뷰티,normal,,0
59,0,0,449,8,24,11,363605,1,0,0,0,2,0.81,,가전/디지털,risk,BAD_EXPERIENCE,0
60,0,0,634,14,24,18,410688,0,1,0,0,0,1.07,5,뷰티,normal,,0
61,0,0,76,18,56,1,46159,0,0,1,0,0,1.39,5,자동차,risk,FIRST_ORDER_ONLY,0
62,1,0,959,6,30,12,286344,1,1,0,0,0,0.97,3,자동차,normal,,0
63,0,0,51,24,38,1,64700,0,0,1,0,0,1.2,5,헬스/건강,risk,FIRST_ORDER_ONLY,1
64,0,0,991,9,12,13,1025349,0,0,0,0,0,1.1,,스포츠,normal,,0
65,0,0,267,13,6,29,1754529,0,1,1,0,0,1.03,,뷰티,normal,,0
66,0,0,208,10,20,28,1140020,0,0,1,0,0,0.83,,가전/디지털,normal,,0
67,0,0,919,27,24,14,334096,0,1,0,0,0,0.52,4,패션,border,,0
68,0,0,169,2,7,10,234330,0,0,0,0,0,1.12,,스포츠,normal,,0
69,0,0,670,3,9,11,257598,0,0,0,0,0,1.08,,생활용품,normal,,0
70,0,0,540,11,22,23,1587345,0,0,0,0,0,0.86,,가전/디지털,normal,,0
71,0,0,93,6,26,11,241637,1,1,0,0,0,1.19,,생활용품,normal,,0
72,0,0,835,7,4,10,432090,3,1,1,0,0,1.07,,반려동물,risk,CART_ABANDON,1
73,0,0,497,6,26,11,280302,0,1,0,0,0,1.01,4,출산/유아동,normal,,0
74,0,0,645,9,19,27,2398761,0,0,0,0,0,0.82,,뷰티,normal,,0
75,0,0,906,14,3,18,939726,0,0,0,0,0,1.11,,헬스/건강,normal,,0
76,0,0,843,10,3,20,897680,0,0,0,0,0,1.29,4,가구/인테리어,normal,,0
77,0,0,230,6,11,18,488682,0,1,0,0,0,1.17,,가구/인테리어,normal,,0
78,0,0,799,8,5,6,261372,0,1,0,0,0,0.84,,식품,normal,,0
79,1,0,391,7,2,17,738565,0,1,1,0,0,1.32,4,자동차,normal,,0
80,0,0,316,5,24,6,248970,0,0,0,0,0,1.04,4,가전/디지털,normal,,0
81,0,0,147,8,24,15,1055145,0,1,0,0,0,0.85,,식품,normal,,1
82,0,0,449,86,90,21,890358,1,0,0,0,0,0.85,,헬스/건강,risk,LOGIN_INACTIVE,0
83,0,0,847,11,3,9,674955,0,0,1,0,0,0.94,4,생활용품,risk,COUPON_EXPIRING,0
84,0,0,980,2,8,7,143241,0,5,0,0,0,1.31,,헬스/건강,risk,WISHLIST_IDLE,0
85,0,0,65,9,30,29,2455691,0,0,0,0,0,1.02,3,문구/오피스,normal,,0
86,0,0,675,9,2,6,312450,1,0,0,0,0,1.28,4,문구/오피스,normal,,0
87,1,0,110,2,6,10,272170,0,0,1,0,0,1.18,3,뷰티,normal,,1
88,0,0,677,4,12,30,944850,0,0,0,0,0,1.19,4,헬스/건강,normal,,0
89,0,0,736,11,24,23,994842,1,0,0,0,0,0.77,,자동차,normal,,0
90,0,0,366,5,13,28,1950704,0,0,1,0,0,0.79,,헬스/건강,normal,,0
91,0,1,197,4,24,19,1063392,0,0,0,0,0,0.89,3,식품,risk,MEMBERSHIP_CANCEL,0
92,0,0,645,76,85,7,625310,1,0,0,0,0,1.36,2,스포츠,risk,LOGIN_INACTIVE,1
93,1,0,683,13,12,17,918578,0,1,3,0,0,0.83,4,출산/유아동,risk,COUPON_EXPIRING,1
94,0,0,592,11,22,19,1619541,0,0,1,0,0,1.21,4,스포츠,risk,COUPON_EXPIRING,1
95,0,0,181,0,16,4,141824,0,0,1,0,0,1.02,,가구/인테리어,risk,COUPON_EXPIRING,0
96,0,0,418,8,27,14,669634,0,0,0,0,0,1.26,,가전/디지털,normal,,0
97,0,0,367,8,19,13,811941,0,0,0,2,2,1.01,3,패션,risk,BAD_EXPERIENCE,0
98,1,0,912,2,8,4,253284,0,1,0,0,0,1.06,,자동차,normal,,0
99,1,0,721,2,17,5,201830,0,1,0,0,0,0.97,3,패션,normal,,0
100,0,0,58,37,56,1,53479,0,0,0,0,1,0.96,,스포츠,composite,,0
101,0,0,91,79,88,30,1252590,0,0,0,0,0,1.31,,완구/취미,risk,LOGIN_INACTIVE,1
102,1,0,938,5,24,26,627770,0,0,2,0,0,0.99,3,자동차,risk,COUPON_EXPIRING,1
103,0,0,597,4,7,10,347100,0,0,0,0,0,0.81,4,문구/오피스,normal,,1
104,0,0,85,12,17,20,1710860,0,0,0,0,0,1.32,,완구/취미,normal,,0
105,0,0,854,5,6,13,427414,0,1,0,0,0,0.84,,가구/인테리어,normal,,0
106,0,0,97,7,14,27,2388528,0,0,0,0,0,1.3,3,패션,normal,,0
107,0,0,401,79,88,6,156282,0,0,0,0,0,0.76,,식품,risk,LOGIN_INACTIVE,1
108,0,0,973,3,12,24,1110888,0,0,0,0,0,1.04,,패션,normal,,0
109,0,0,339,2,7,7,391062,0,1,0,0,0,0.82,,가구/인테리어,normal,,0
110,0,0,418,8,12,21,1166067,0,0,0,0,0,0.91,,가전/디지털,normal,,0
111,0,0,378,9,30,6,386394,0,0,0,0,0,1.34,,가구/인테리어,normal,,0
112,0,0,168,6,3,5,156435,0,0,0,0,0,1.14,,가전/디지털,normal,,0
113,0,0,766,11,16,30,1998360,0,1,0,0,0,1.19,,패션,normal,,0
114,0,0,140,14,26,21,1701819,0,0,1,0,0,1.2,5,식품,normal,,0
115,1,0,72,38,60,1,43823,0,1,0,0,0,1.33,,출산/유아동,risk,FIRST_ORDER_ONLY,1
116,1,0,776,27,21,9,569664,0,1,0,0,0,0.55,,생활용품,border,,0
117,0,0,926,2,11,18,1182474,0,0,0,0,0,1.28,4,완구/취미,normal,,0
118,0,0,169,5,19,29,849584,0,0,0,0,0,1.02,4,헬스/건강,normal,,0
119,0,0,309,8,7,23,1914175,0,0,1,0,0,1.13,,패션,normal,,0
120,1,0,505,9,27,29,1880708,0,0,0,0,0,0.8,,헬스/건강,normal,,0
121,0,0,647,13,17,26,909584,0,0,0,0,0,1.28,4,반려동물,normal,,1
122,1,0,375,6,4,9,308277,0,0,1,0,0,0.96,5,가구/인테리어,normal,,0
123,0,0,736,0,4,24,1164528,0,1,1,0,0,1.16,4,가전/디지털,normal,,0
124,0,0,835,10,23,4,158232,2,0,0,0,0,1.04,,문구/오피스,risk,CART_ABANDON,0
125,0,1,366,5,27,14,838838,1,1,0,0,0,1.34,,생활용품,risk,MEMBERSHIP_CANCEL,1
126,0,0,68,9,18,22,1605516,0,1,0,0,0,1.34,,가구/인테리어,normal,,0
127,1,0,60,11,19,5,335430,0,5,0,0,0,1.03,4,가전/디지털,risk,WISHLIST_IDLE,0
128,0,0,700,39,45,16,1122768,0,0,0,0,0,0.86,,완구/취미,risk,LOGIN_INACTIVE,1
129,0,0,453,13,13,21,1568427,0,1,0,0,0,0.84,,반려동물,risk,WISHLIST_IDLE,0
130,0,1,76,16,25,24,2011008,0,1,0,0,0,0.84,,가구/인테리어,risk,MEMBERSHIP_CANCEL,1
131,0,0,975,5,24,18,1364346,4,0,0,0,0,1.28,4,출산/유아동,risk,CART_ABANDON,0
132,1,0,250,6,21,11,230703,0,1,0,0,0,1.08,,가구/인테리어,normal,,0
133,0,0,619,9,13,17,414545,1,0,0,0,0,0.82,,반려동물,normal,,0
134,0,0,767,1,6,19,1690943,1,1,0,0,0,1.05,,출산/유아동,normal,,0
135,0,0,595,14,21,6,189552,0,0,0,0,0,1.18,,출산/유아동,normal,,0
136,0,0,708,8,27,25,1523975,0,1,0,0,0,0.76,,헬스/건강,normal,,1
137,0,0,584,14,17,18,1142136,0,1,0,0,0,0.94,,식품,normal,,0
138,0,0,771,14,21,5,299275,0,0,0,0,0,1.06,,자동차,normal,,0
139,1,0,646,0,23,9,524160,0,0,0,0,0,0.8,,패션,normal,,0
140,0,0,138,21,29,20,1128360,0,0,0,0,0,0.53,,스포츠,border,,0
141,1,0,816,8,23,22,1727946,2,0,0,0,0,0.9,,패션,risk,CART_ABANDON,0
142,0,0,411,27,22,5,201020,0,0,0,0,0,0.53,4,완구/취미,border,,0
143,0,0,922,5,3,27,1475658,0,3,0,0,0,1.01,,생활용품,risk,WISHLIST_IDLE,0
144,0,0,824,12,19,19,961894,0,0,0,0,0,0.84,4,가구/인테리어,normal,,1
145,1,0,72,4,27,17,1340059,0,0,0,0,0,1.37,3,식품,normal,,0
146,0,0,999,8,22,7,464632,1,0,1,0,0,1.31,4,가구/인테리어,normal,,0
147,1,0,336,68,92,16,460334,0,0,0,0,0,0.13,,생활용품,composite,,1
148,0,0,766,2,12,25,534650,0,1,0,0,0,0.81,4,완구/취미,normal,,0
149,1,0,761,20,29,7,341313,0,0,0,0,0,0.6,4,가구/인테리어,border,,0
150,0,0,282,9,22,30,1078890,0,0,1,0,0,0.83,4,패션,normal,,1
151,0,0,842,14,22,25,1105425,1,0,0,0,0,1.05,,헬스/건강,normal,,0
152,0,0,714,7,10,6,455790,0,0,0,0,0,0.92,,생활용품,normal,,0
153,0,0,135,4,26,28,788956,0,0,0,0,0,1.37,,생활용품,normal,,0
154,0,0,242,7,4,12,1013400,1,0,0,0,0,1.17,,자동차,normal,,0
155,0,0,207,8,26,7,535675,0,0,1,0,0,1.22,4,헬스/건강,normal,,0
156,0,0,95,1,4,7,369922,0,0,0,0,0,1.17,,스포츠,normal,,0
157,0,0,98,10,14,4,219688,0,0,0,0,0,0.75,,식품,normal,,0
158,0,0,849,7,17,26,2006004,0,0,1,0,0,0.8,,생활용품,normal,,1
159,0,0,63,6,24,11,915035,0,0,1,0,0,0.97,,문구/오피스,normal,,0
160,0,0,470,0,22,13,414479,0,1,0,0,0,1.3,,헬스/건강,normal,,0
